Intent,User_Input,Bot_Response
roleplay,let's do a airport custom roleplay.,great! let's start the airport custom scenario. you go first.
greeting,hi,hi there! how can i help your speaking skills today?
greeting,good morning,greetings! let's improve your english.
greeting,hello,hi there! how can i help your speaking skills today?
roleplay,can we simulate a airport custom situation?,"sure thing. imagine we are doing a airport custom. i will start: 'hello, how can i help you?'"
roleplay,i want to practice asking for directions.,awesome! let's practice asking for directions. what would you say in this situation?
greeting,hi bot,greetings! let's improve your english.
pronunciation,i can't say 'schedule' correctly.,focus on the vowel sound in 'schedule'. try saying it slowly.
roleplay,let's do a asking for directions roleplay.,awesome! let's practice asking for directions. what would you say in this situation?
roleplay,i want to practice asking for directions.,"sure thing. imagine we are doing a asking for directions. i will start: 'hello, how can i help you?'"
grammar,is this correct: 'he playing soccer now'?,you have a small mistake. it should be: '[corrected version]'.
pronunciation,i can't say 'vegetable' correctly.,focus on the vowel sound in 'vegetable'. try saying it slowly.
pronunciation,help me pronounce 'comfortable'.,the stress in 'comfortable' falls on the first syllable. try again!
roleplay,let's do a asking for directions roleplay.,great! let's start the asking for directions scenario. you go first.
pronunciation,what is the correct pronunciation of 'literature'?,focus on the vowel sound in 'literature'. try saying it slowly.
greeting,hey there,hi there! how can i help your speaking skills today?
pronunciation,how do i pronounce 'schedule'?,focus on the vowel sound in 'schedule'. try saying it slowly.
pronunciation,help me pronounce 'schedule'.,the stress in 'schedule' falls on the first syllable. try again!
roleplay,i want to practice job interview.,"sure thing. imagine we are doing a job interview. i will start: 'hello, how can i help you?'"
grammar,please fix my grammar: 'he playing soccer now',you have a small mistake. it should be: '[corrected version]'.
pronunciation,help me pronounce 'entrepreneur'.,"to say 'entrepreneur', break it down into syllables. listen to this and repeat."
grammar,is this correct: 'i go to school yesterday'?,almost perfect! but native speakers usually say: '[corrected version]'.
roleplay,can we simulate a airport custom situation?,great! let's start the airport custom scenario. you go first.
greeting,hello,greetings! let's improve your english.
roleplay,can we simulate a hotel check-in situation?,awesome! let's practice hotel check-in. what would you say in this situation?
grammar,did i make a mistake here: 'he playing soccer now'?,"good try! however, the correct tense to use here is..."
pronunciation,help me pronounce 'specifically'.,"to say 'specifically', break it down into syllables. listen to this and repeat."
roleplay,can we simulate a asking for directions situation?,"sure thing. imagine we are doing a asking for directions. i will start: 'hello, how can i help you?'"
roleplay,can we simulate a airport custom situation?,awesome! let's practice airport custom. what would you say in this situation?
roleplay,let's do a hotel check-in roleplay.,"sure thing. imagine we are doing a hotel check-in. i will start: 'hello, how can i help you?'"
greeting,good afternoon,hi there! how can i help your speaking skills today?
roleplay,can we simulate a coffee shop ordering situation?,great! let's start the coffee shop ordering scenario. you go first.
greeting,hey,hi there! how can i help your speaking skills today?
greeting,hi bot,hello! ready to practice english?
pronunciation,help me pronounce 'literature'.,focus on the vowel sound in 'literature'. try saying it slowly.
pronunciation,help me pronounce 'vegetable'.,the stress in 'vegetable' falls on the first syllable. try again!
roleplay,i want to practice job interview.,awesome! let's practice job interview. what would you say in this situation?
grammar,please fix my grammar: 'i go to school yesterday',you have a small mistake. it should be: '[corrected version]'.
grammar,is this correct: 'we was at home'?,you have a small mistake. it should be: '[corrected version]'.
pronunciation,help me pronounce 'schedule'.,"to say 'schedule', break it down into syllables. listen to this and repeat."
pronunciation,help me pronounce 'literature'.,"to say 'literature', break it down into syllables. listen to this and repeat."
greeting,hi,hello! ready to practice english?
grammar,is this correct: 'he playing soccer now'?,almost perfect! but native speakers usually say: '[corrected version]'.
greeting,hey,hello! ready to practice english?
grammar,did i make a mistake here: 'he playing soccer now'?,almost perfect! but native speakers usually say: '[corrected version]'.
grammar,did i make a mistake here: 'i go to school yesterday'?,"good try! however, the correct tense to use here is..."
greeting,hi,greetings! let's improve your english.
greeting,hello,hello! ready to practice english?
greeting,good afternoon,greetings! let's improve your english.
pronunciation,help me pronounce 'schedule'.,focus on the vowel sound in 'schedule'. try saying it slowly.
roleplay,can we simulate a asking for directions situation?,awesome! let's practice asking for directions. what would you say in this situation?
pronunciation,i can't say 'knowledge' correctly.,the stress in 'knowledge' falls on the first syllable. try again!
grammar,is this correct: 'she don't like apple'?,you have a small mistake. it should be: '[corrected version]'.
roleplay,i want to practice hotel check-in.,great! let's start the hotel check-in scenario. you go first.
grammar,please fix my grammar: 'i go to school yesterday',almost perfect! but native speakers usually say: '[corrected version]'.
pronunciation,i can't say 'specifically' correctly.,the stress in 'specifically' falls on the first syllable. try again!
greeting,hey,greetings! let's improve your english.
roleplay,i want to practice coffee shop ordering.,great! let's start the coffee shop ordering scenario. you go first.
grammar,check this sentence for me: 'she don't like apple',almost perfect! but native speakers usually say: '[corrected version]'.
roleplay,i want to practice coffee shop ordering.,"sure thing. imagine we are doing a coffee shop ordering. i will start: 'hello, how can i help you?'"
pronunciation,how do i pronounce 'entrepreneur'?,the stress in 'entrepreneur' falls on the first syllable. try again!
roleplay,can we simulate a asking for directions situation?,great! let's start the asking for directions scenario. you go first.
pronunciation,i can't say 'entrepreneur' correctly.,focus on the vowel sound in 'entrepreneur'. try saying it slowly.
grammar,please fix my grammar: 'he playing soccer now',"good try! however, the correct tense to use here is..."
greeting,good morning,hi there! how can i help your speaking skills today?
roleplay,i want to practice asking for directions.,great! let's start the asking for directions scenario. you go first.
pronunciation,help me pronounce 'thorough'.,the stress in 'thorough' falls on the first syllable. try again!
grammar,check this sentence for me: 'he playing soccer now',you have a small mistake. it should be: '[corrected version]'.
roleplay,let's do a airport custom roleplay.,"sure thing. imagine we are doing a airport custom. i will start: 'hello, how can i help you?'"
grammar,check this sentence for me: 'she don't like apple',you have a small mistake. it should be: '[corrected version]'.
roleplay,can we simulate a hotel check-in situation?,great! let's start the hotel check-in scenario. you go first.
grammar,please fix my grammar: 'i have 20 years old',you have a small mistake. it should be: '[corrected version]'.
grammar,check this sentence for me: 'he playing soccer now',almost perfect! but native speakers usually say: '[corrected version]'.
roleplay,can we simulate a job interview situation?,awesome! let's practice job interview. what would you say in this situation?
pronunciation,help me pronounce 'entrepreneur'.,the stress in 'entrepreneur' falls on the first syllable. try again!
pronunciation,help me pronounce 'literature'.,the stress in 'literature' falls on the first syllable. try again!
pronunciation,how do i pronounce 'entrepreneur'?,"to say 'entrepreneur', break it down into syllables. listen to this and repeat."
grammar,please fix my grammar: 'i have 20 years old',almost perfect! but native speakers usually say: '[corrected version]'.
grammar,check this sentence for me: 'he playing soccer now',"good try! however, the correct tense to use here is..."
pronunciation,i can't say 'knowledge' correctly.,focus on the vowel sound in 'knowledge'. try saying it slowly.
roleplay,i want to practice airport custom.,awesome! let's practice airport custom. what would you say in this situation?
grammar,please fix my grammar: 'we was at home',almost perfect! but native speakers usually say: '[corrected version]'.
pronunciation,i can't say 'vegetable' correctly.,the stress in 'vegetable' falls on the first syllable. try again!
greeting,good morning,hello! ready to practice english?
grammar,please fix my grammar: 'i go to school yesterday',"good try! however, the correct tense to use here is..."
roleplay,let's do a job interview roleplay.,"sure thing. imagine we are doing a job interview. i will start: 'hello, how can i help you?'"
pronunciation,help me pronounce 'entrepreneur'.,focus on the vowel sound in 'entrepreneur'. try saying it slowly.
grammar,check this sentence for me: 'i go to school yesterday',"good try! however, the correct tense to use here is..."
pronunciation,i can't say 'vegetable' correctly.,"to say 'vegetable', break it down into syllables. listen to this and repeat."
greeting,good afternoon,hello! ready to practice english?
pronunciation,how do i pronounce 'thorough'?,focus on the vowel sound in 'thorough'. try saying it slowly.
pronunciation,how do i pronounce 'specifically'?,"to say 'specifically', break it down into syllables. listen to this and repeat."
grammar,is this correct: 'i have 20 years old'?,almost perfect! but native speakers usually say: '[corrected version]'.
pronunciation,i can't say 'literature' correctly.,the stress in 'literature' falls on the first syllable. try again!
roleplay,let's do a hotel check-in roleplay.,great! let's start the hotel check-in scenario. you go first.
roleplay,let's do a airport custom roleplay.,awesome! let's practice airport custom. what would you say in this situation?
pronunciation,i can't say 'entrepreneur' correctly.,the stress in 'entrepreneur' falls on the first syllable. try again!
roleplay,let's do a asking for directions roleplay.,"sure thing. imagine we are doing a asking for directions. i will start: 'hello, how can i help you?'"
grammar,please fix my grammar: 'he playing soccer now',almost perfect! but native speakers usually say: '[corrected version]'.
roleplay,i want to practice job interview.,great! let's start the job interview scenario. you go first.
pronunciation,how do i pronounce 'schedule'?,the stress in 'schedule' falls on the first syllable. try again!
roleplay,let's do a coffee shop ordering roleplay.,awesome! let's practice coffee shop ordering. what would you say in this situation?
roleplay,can we simulate a job interview situation?,"sure thing. imagine we are doing a job interview. i will start: 'hello, how can i help you?'"
grammar,please fix my grammar: 'she don't like apple',you have a small mistake. it should be: '[corrected version]'.
pronunciation,what is the correct pronunciation of 'schedule'?,the stress in 'schedule' falls on the first syllable. try again!
grammar,did i make a mistake here: 'she don't like apple'?,you have a small mistake. it should be: '[corrected version]'.
roleplay,can we simulate a hotel check-in situation?,"sure thing. imagine we are doing a hotel check-in. i will start: 'hello, how can i help you?'"
pronunciation,help me pronounce 'vegetable'.,focus on the vowel sound in 'vegetable'. try saying it slowly.
pronunciation,i can't say 'thorough' correctly.,"to say 'thorough', break it down into syllables. listen to this and repeat."
grammar,check this sentence for me: 'we was at home',you have a small mistake. it should be: '[corrected version]'.
roleplay,can we simulate a job interview situation?,great! let's start the job interview scenario. you go first.
pronunciation,what is the correct pronunciation of 'vegetable'?,focus on the vowel sound in 'vegetable'. try saying it slowly.
roleplay,let's do a job interview roleplay.,great! let's start the job interview scenario. you go first.
pronunciation,what is the correct pronunciation of 'entrepreneur'?,focus on the vowel sound in 'entrepreneur'. try saying it slowly.
pronunciation,what is the correct pronunciation of 'specifically'?,the stress in 'specifically' falls on the first syllable. try again!
pronunciation,i can't say 'entrepreneur' correctly.,"to say 'entrepreneur', break it down into syllables. listen to this and repeat."
grammar,check this sentence for me: 'i have 20 years old',almost perfect! but native speakers usually say: '[corrected version]'.
pronunciation,how do i pronounce 'vegetable'?,focus on the vowel sound in 'vegetable'. try saying it slowly.
roleplay,i want to practice airport custom.,"sure thing. imagine we are doing a airport custom. i will start: 'hello, how can i help you?'"
roleplay,can we simulate a coffee shop ordering situation?,awesome! let's practice coffee shop ordering. what would you say in this situation?
roleplay,i want to practice airport custom.,great! let's start the airport custom scenario. you go first.
